Times Metric,goNogo_computer Trait,Correlation,P-value
T1_outlier,RT_cv,0.0969604384041827,0.7112325156895121
T1_outlier,RT_skew,-0.12051864523192399,0.6449799909886463
T1_outlier,RT_kurt,-0.08905413595665576,0.7339409586064837
T1_outlier,RT_iqr,0.32333474213003444,0.20553515623395438
T1_outlier,RT_outlier,0.14757147666595108,0.5719263397250429
T1_outlier,RT_noerrors,0.16464638998453549,0.5277272055429263
T1_outlier,RT_nsamples,-0.10655094897089702,0.6839933556088907
T1_nsamples,RT_mean,-0.05254284961933403,0.8412650034455187
T1_nsamples,RT_median,-0.08286056114188828,0.7518780003499441
T1_nsamples,RT_std,-0.05722432219527621,0.827313717812678
T1_nsamples,RT_cv,-0.055040390400020456,0.8338162449126058
T1_nsamples,RT_skew,-0.019915186254237924,0.9395266487719178
T1_nsamples,RT_kurt,0.022179858579119333,0.9326637730904749
T1_nsamples,RT_iqr,0.2576783596453845,0.31803450795194593
T1_nsamples,RT_outlier,-0.13589565827591493,0.6030241348504599
T1_nsamples,RT_noerrors,-0.008423311595321156,0.9744041893798814
T1_nsamples,RT_nsamples,0.6938532703264472,0.002004514513025211
T2_mean,RT_mean,0.05606686234724928,0.8307586914218155
T2_mean,RT_median,0.05664725281500872,0.8290308940836678
T2_mean,RT_std,0.2327893788845235,0.3685733872567874
T2_mean,RT_cv,0.22860596679602707,0.3774837736373106
T2_mean,RT_skew,-0.05996162120696647,0.8191785746749917
T2_mean,RT_kurt,-0.11394366939602223,0.6632430466094069
T2_mean,RT_iqr,0.09965719861943807,0.7035380498177108
T2_mean,RT_outlier,0.4174591141653079,0.09546161509205087
T2_mean,RT_noerrors,0.28349009018876836,0.2701815590985498
T2_mean,RT_nsamples,-0.4332164119543449,0.08237026708214137
T2_median,RT_mean,0.2296897669459743,0.3751640259889435
T2_median,RT_median,0.23910642227865464,0.3553432745790957
T2_median,RT_std,0.16623660161910286,0.523692010750217
T2_median,RT_cv,0.057240543928690726,0.8272654577073197
T2_median,RT_skew,-0.1888862677171395,0.4678063526185918
T2_median,RT_kurt,-0.21020880192607005,0.4180526291687752
T2_median,RT_iqr,0.21436587525659812,0.40869069695208304
T2_median,RT_outlier,0.335493299417827,0.18802081723462907
T2_median,RT_noerrors,0.3018500571208157,0.23900411248298106
T2_median,RT_nsamples,-0.3994774423059051,0.11214967453385367
T2_std,RT_mean,-0.19394467227910062,0.455745194281597
T2_std,RT_median,-0.205957909758194,0.42774158680752067
T2_std,RT_std,0.267061426346217,0.30009718450666595
T2_std,RT_cv,0.41374789733855083,0.09875008744265898
T2_std,RT_skew,0.3556020216764316,0.1612758823855186
T2_std,RT_kurt,0.2795116676132533,0.277251356208128
T2_std,RT_iqr,-0.29514798642702056,0.2501090742951996
T2_std,RT_outlier,0.32524641685744293,0.20271353785668733
T2_std,RT_noerrors,0.07587187831018541,0.7722624782175895
T2_std,RT_nsamples,-0.1827098994117891,0.48274491992779
T2_cv,RT_mean,-0.25666331287883093,0.3200118411678828
T2_cv,RT_median,-0.26317365313004115,0.30745451043190913
T2_cv,RT_std,0.1606426240121265,0.5379492570908878
T2_cv,RT_cv,0.3284397541032415,0.19805680187627608
T2_cv,RT_skew,0.3989669124971992,0.11265164444826994
T2_cv,RT_kurt,0.32333895784517225,0.20552890590175565
T2_cv,RT_iqr,-0.3833202712647088,0.12881402988443272
T2_cv,RT_outlier,0.1803141212790792,0.48860126209155746
T2_cv,RT_noerrors,-0.015566375670357398,0.9527162063949455
T2_cv,RT_nsamples,-0.06253796075213847,0.8115376802473716
T2_skewness,RT_mean,-0.17959466526817533,0.49036660033724266
T2_skewness,RT_median,-0.18059695522758562,0.48790811036803594
T2_skewness,RT_std,0.08384642689655591,0.7490145553632201
T2_skewness,RT_cv,0.20107001333156183,0.439025562782196
T2_skewness,RT_skew,0.4021377059177114,0.10955954892716144
T2_skewness,RT_kurt,0.3222199905224612,0.20719225887268494
T2_skewness,RT_iqr,-0.313919401759803,0.21980400877335177
T2_skewness,RT_outlier,0.08428681138457166,0.7477364583039792
T2_skewness,RT_noerrors,-0.03311604075902374,0.8995939467939927
T2_skewness,RT_nsamples,0.09897652736892477,0.7054776270768971
T2_kurtosis,RT_mean,-0.14193112502636535,0.5868637844381663
