Times Metric,stroop_all Trait,Correlation,P-value
T1+T2_outlier,RT_iqr,-0.2883253160741758,0.14643519153898515
T1+T2_kurtosis,RT_mean,-0.2647058823529411,0.15133363966308636
T1+T2_kurtosis,RT_kurt,-0.2647058823529411,0.15133363966308636
T3_mean,RT_std,-0.2647058823529411,0.15133363966308636
T1_std,RT_mean,0.2647058823529411,0.15133363966308636
T3_std,RT_skew,-0.2647058823529411,0.15133363966308636
T1+T2_cv,RT_outlier,-0.2840827571544638,0.15822064245182277
T1_mean,RT_outlier,-0.2840827571544638,0.15822064245182277
T3_median,RT_skew,-0.2518587616520329,0.16063714530698736
T1_kurtosis,RT_median,0.24536841934497836,0.17269181727506389
T1_median,RT_kurt,-0.24253562503633294,0.18343341551567216
T1_median,RT_cv,-0.24253562503633294,0.18343341551567216
T3_mean,RT_outlier,-0.26514390667749954,0.18783553549120913
T2_median,RT_mean,0.2322504648034895,0.19943764592121516
T1+T2_kurtosis,RT_cv,-0.2352941176470588,0.20489900152579948
T2_std,RT_cv,-0.2352941176470588,0.20489900152579948
T3_skewness,RT_skew,-0.2352941176470588,0.20489900152579948
T3_nsamples,RT_skew,-0.23681586673150223,0.2062389526080478
T3_median,RT_std,-0.22222831910473492,0.2157601535185133
T3_median,RT_outlier,-0.24803560226854396,0.22073662634552083
T2_cv,RT_outlier,-0.24620505620053526,0.2213534436043294
T2_median,RT_median,0.21970327440389123,0.22857258652571422
T3_iqr,RT_iqr,-0.21562679275770827,0.23105782736248937
T1_median,RT_nsamples,0.25028392967696794,0.23465017061096693
T1_median,RT_noerrors,-0.25028392967696794,0.23465017061096693
T1_kurtosis,RT_mean,0.2205882352941176,0.23617204064651248
T3_std,RT_mean,-0.2205882352941176,0.23617204064651248
T3_kurtosis,RT_kurt,0.2205882352941176,0.23617204064651248
T1+T2_median,RT_median,0.208961042658501,0.24687805995819156
T1+T2_mean,RT_outlier,-0.227266205723571,0.25895476965886355
T3_std,RT_outlier,-0.227266205723571,0.25895476965886355
T3_median,RT_median,-0.20224860952824972,0.26376149575601615
T1+T2_kurtosis,RT_median,-0.2007559794640732,0.2645603853347738
T3_iqr,RT_cv,-0.2007559794640732,0.26483215380782166
T1+T2_median,RT_iqr,0.19926334924652145,0.26564583302330047
T1_mean,RT_skew,-0.20588235294117643,0.27056053596407176
T1+T2_skewness,RT_iqr,-0.20588235294117643,0.27056053596407176
T2_kurtosis,RT_kurt,-0.20588235294117643,0.27056053596407176
