Times Metric,stroop_incongruent Trait,Correlation,P-value
T1_iqr,RT_nsamples,-0.10726454129012913,0.6105123540900065
T1_outlier,RT_mean,0.35334325482992973,0.07209060682290956
T1_outlier,RT_median,0.35334325482992973,0.07209060682290956
T1_outlier,RT_std,0.04309064083291826,0.8263892430935335
T1_outlier,RT_cv,-0.35334325482992973,0.07209060682290956
T1_outlier,RT_skew,-0.19821694783142402,0.3130033371787856
T1_outlier,RT_kurt,0.11203566616558747,0.5684942318360839
T1_outlier,RT_iqr,0.025854384499750957,0.8952999819820893
T1_outlier,RT_outlier,-0.1731962444392146,0.4422753410227517
T1_outlier,RT_noerrors,0.0,1.0
T1_outlier,RT_nsamples,0.0,1.0
T1_nsamples,RT_mean,0.059016710652347516,0.7738459604944308
T1_nsamples,RT_median,0.059016710652347516,0.7738459604944308
T1_nsamples,RT_std,0.03934447376823168,0.8480827592882225
T1_nsamples,RT_cv,0.13770565818881086,0.5025528715982597
T1_nsamples,RT_skew,0.01967223688411584,0.9236932143490357
T1_nsamples,RT_kurt,-0.33442802702996927,0.1034602966049633
T1_nsamples,RT_iqr,0.23606684260939007,0.2503945659885424
T1_nsamples,RT_outlier,-0.3106303720986977,0.18850057115280838
T1_nsamples,RT_noerrors,-0.13920485060019283,0.5602888549531477
T1_nsamples,RT_nsamples,0.13920485060019283,0.5602888549531477
T2_mean,RT_mean,-0.07352941176470587,0.7150317752938318
T2_mean,RT_median,-0.13235294117647056,0.4896069682169023
T2_mean,RT_std,-0.08823529411764705,0.6553075802476113
T2_mean,RT_cv,-0.20588235294117643,0.27056053596407176
T2_mean,RT_skew,-0.07352941176470587,0.7150317752938318
T2_mean,RT_kurt,0.014705882352941175,0.9676638168395322
T2_mean,RT_iqr,-0.044117647058823525,0.8393415533036079
T2_mean,RT_outlier,-0.02111001654603745,0.917411260192041
T2_mean,RT_noerrors,0.15031161927043607,0.46529682479468804
T2_mean,RT_nsamples,-0.15031161927043607,0.46529682479468804
T2_median,RT_mean,0.26221826671361714,0.14741472764959743
T2_median,RT_median,0.2172665638484256,0.22999522472035994
T2_median,RT_std,0.0824114552528511,0.6488839324284439
T2_median,RT_cv,-0.2172665638484256,0.22999522472035994
T2_median,RT_skew,-0.11237925716297878,0.5346775060843156
T2_median,RT_kurt,-0.022475851432595752,0.901175665626171
T2_median,RT_iqr,0.007491950477531919,0.9669833035670635
T2_median,RT_outlier,-0.0967909815081887,0.6394679080004564
T2_median,RT_noerrors,-0.07068613858013381,0.7351518155965936
T2_median,RT_nsamples,0.07068613858013381,0.7351518155965936
T2_std,RT_mean,-0.49999999999999994,0.004507537046975066
T2_std,RT_median,-0.4705882352941176,0.007921135981245789
T2_std,RT_std,-0.5147058823529411,0.0033456623826434947
T2_std,RT_cv,-0.338235294117647,0.06302241248726353
T2_std,RT_skew,-0.14705882352941174,0.43968652710486045
T2_std,RT_kurt,-0.08823529411764705,0.6553075802476113
T2_std,RT_iqr,-0.3529411764705882,0.05175324945907756
T2_std,RT_outlier,-0.10555008273018725,0.6041263073291684
T2_std,RT_noerrors,0.12718675476729208,0.5366929751215133
T2_std,RT_nsamples,-0.12718675476729208,0.5366929751215133
T2_cv,RT_mean,-0.45588235294117646,0.010340361794472324
T2_cv,RT_median,-0.4264705882352941,0.017119110549244844
T2_cv,RT_std,-0.4705882352941176,0.007921135981245789
T2_cv,RT_cv,-0.2647058823529411,0.15133363966308636
T2_cv,RT_skew,0.014705882352941175,0.9676638168395322
T2_cv,RT_kurt,-0.07352941176470587,0.7150317752938318
T2_cv,RT_iqr,-0.3676470588235294,0.04217070212970702
T2_cv,RT_outlier,-0.0422200330920749,0.8357050269952793
T2_cv,RT_noerrors,0.057812161257860026,0.7788423433329366
T2_cv,RT_nsamples,-0.057812161257860026,0.7788423433329366
T2_skewness,RT_mean,-0.49999999999999994,0.004507537046975066
T2_skewness,RT_median,-0.4411764705882352,0.013367514323499561
T2_skewness,RT_std,-0.5735294117647058,0.0009013347020841902
T2_skewness,RT_cv,-0.24999999999999997,0.17665741934030035
T2_skewness,RT_skew,-0.08823529411764705,0.6553075802476113
T2_skewness,RT_kurt,-0.2647058823529411,0.15133363966308636
T2_skewness,RT_iqr,-0.2647058823529411,0.15133363966308636
T2_skewness,RT_outlier,-0.1688801323682996,0.4067868333984651
T2_skewness,RT_noerrors,0.03468729675471602,0.8661924712241905
T2_skewness,RT_nsamples,-0.03468729675471602,0.8661924712241905
T2_kurtosis,RT_mean,-0.4411764705882352,0.013367514323499561
T2_kurtosis,RT_median,-0.41176470588235287,0.02172533125679204
T2_kurtosis,RT_std,-0.5441176470588235,0.0017803239418771048
T2_kurtosis,RT_cv,-0.24999999999999997,0.17665741934030035
T2_kurtosis,RT_skew,-0.14705882352941174,0.43968652710486045
T2_kurtosis,RT_kurt,-0.2941176470588235,0.10886459480774507
T2_kurtosis,RT_iqr,-0.1764705882352941,0.34884640290128766
T2_kurtosis,RT_outlier,-0.2111001654603745,0.2997583700887151
T2_kurtosis,RT_noerrors,-0.057812161257860026,0.7788423433329366
T2_kurtosis,RT_nsamples,0.057812161257860026,0.7788423433329366
T2_iqr,RT_mean,-0.0073801240461674605,0.9671144342016654
T2_iqr,RT_median,-0.06642111641550714,0.7106013435270542
T2_iqr,RT_std,-0.0073801240461674605,0.9671144342016654
T2_iqr,RT_cv,-0.06642111641550714,0.7106013435270542
T2_iqr,RT_skew,0.0369006202308373,0.836683035334292
T2_iqr,RT_kurt,0.06642111641550714,0.7106013435270542
T2_iqr,RT_iqr,-0.0369006202308373,0.836683035334292
T2_iqr,RT_outlier,-0.031782086308186415,0.8763133957700251
T2_iqr,RT_noerrors,0.09284141650970551,0.6529904849574311
T2_iqr,RT_nsamples,-0.09284141650970551,0.6529904849574311
T2_outlier,RT_mean,-0.5023952232895468,0.010569677094787313
T2_outlier,RT_median,-0.45042330363890404,0.02189781463571188
T2_outlier,RT_std,-0.5543671429401896,0.004786076185271369
T2_outlier,RT_cv,-0.3291554911207376,0.09392986950640501
T2_outlier,RT_skew,-0.19056370538569017,0.3321712636634421
T2_outlier,RT_kurt,-0.31183151790385666,0.11254363833103988
T2_outlier,RT_iqr,-0.25985959825321386,0.18603965713447423
