Times Metric,bis11 Trait,Correlation,P-value
T1_kurtosis,Comp_motorio,-0.4599280237912737,0.013383100685847188
T1_kurtosis,Autocontrollo,-0.38517061334437636,0.039144680152110894
T1_kurtosis,Compl_cogn,-0.26839131562903584,0.15272591858071305
T1_kurtosis,Perseveranza,-0.16351748504193211,0.3908820638257585
T1_kurtosis,Instabilita_cog,-0.008138962667412649,0.9657068284765877
T1_kurtosis,Impulsivita_cog,-0.08504928663628511,0.6456603927400055
T1_kurtosis,Impulsivita_mot,-0.5002297266374367,0.006134562608112834
T1_kurtosis,Impulsivita_non_pian,-0.39107694443752145,0.031221677703116655
T1_iqr,Attenzione,-0.19955703157132176,0.30219760889700464
T1_iqr,Comp_motorio,0.3214121732666125,0.09075165331556358
T1_iqr,Autocontrollo,-0.0891280119884226,0.6404680659597801
T1_iqr,Compl_cogn,-0.16273613872602982,0.3962311358810706
T1_iqr,Perseveranza,-0.37080992435478316,0.05697440231901442
T1_iqr,Instabilita_cog,0.08389450690175304,0.6645942190786062
T1_iqr,Impulsivita_cog,-0.06375767130633382,0.7358733179306018
T1_iqr,Impulsivita_mot,0.08593749999999999,0.6449310558803172
T1_iqr,Impulsivita_non_pian,-0.10077822185373188,0.5868628052771737
T1_outlier,Attenzione,-0.23636501158224985,0.25779944428788615
T1_outlier,Comp_motorio,-0.41115183351513224,0.04497800861880118
T1_outlier,Autocontrollo,-0.4422319942582257,0.03180057679876091
T1_outlier,Compl_cogn,-0.08326910724800535,0.687616378918846
T1_outlier,Perseveranza,0.20123585110162415,0.3388985306546425
T1_outlier,Instabilita_cog,-0.13355155497416657,0.5227370349286464
T1_outlier,Impulsivita_cog,-0.2809257447106357,0.16837345895431421
T1_outlier,Impulsivita_mot,-0.23096744271857794,0.25081616193247125
T1_outlier,Impulsivita_non_pian,-0.31733153120876706,0.11254843173430719
T1_nsamples,Attenzione,-0.16186212629068134,0.4590579526743741
T1_nsamples,Comp_motorio,-0.12513585483848821,0.559761062280137
T1_nsamples,Autocontrollo,-0.26288132304221007,0.22259319037395797
T1_nsamples,Compl_cogn,-0.2956720221668581,0.17245725290071967
T1_nsamples,Perseveranza,-0.2734241495373794,0.21447322473391672
T1_nsamples,Instabilita_cog,-0.02177517781546711,0.9206894035317061
T1_nsamples,Impulsivita_cog,-0.10342860047301514,0.6278518076158865
T1_nsamples,Impulsivita_mot,-0.18249909877210782,0.38563389202358833
T1_nsamples,Impulsivita_non_pian,-0.3118769091768943,0.13588664669435552
T2_mean,Attenzione,0.201665372427274,0.28656800633482427
T2_mean,Comp_motorio,0.17929397537625924,0.3349405722499281
T2_mean,Autocontrollo,0.10218812190769168,0.5842158787125957
T2_mean,Compl_cogn,0.29996676452656945,0.10999833155239704
T2_mean,Perseveranza,0.2779797245712846,0.14466641640547176
T2_mean,Instabilita_cog,0.05697273867188855,0.7634499483965239
T2_mean,Impulsivita_cog,0.10051279329742785,0.58685511646802
T2_mean,Impulsivita_mot,0.22737714847156212,0.21288109182776305
T2_mean,Impulsivita_non_pian,0.22562131409857006,0.21393107565111502
T2_median,Attenzione,0.13150586222279093,0.4933262148305738
T2_median,Comp_motorio,0.06354211321171185,0.7361976887303392
T2_median,Autocontrollo,-0.016018463911772494,0.932604810176004
T2_median,Compl_cogn,0.16086195562339,0.398166743491149
T2_median,Perseveranza,0.07497397188885699,0.6981768776862854
T2_median,Instabilita_cog,-0.07463548721710968,0.6975448081050983
T2_median,Impulsivita_cog,-0.015755848351540234,0.9330715692409133
T2_median,Impulsivita_mot,0.08494778369209212,0.6463206225000595
T2_median,Impulsivita_non_pian,0.06130313195165171,0.7391490545588493
T2_std,Attenzione,0.1371324532505463,0.46865887649818494
T2_std,Comp_motorio,0.08574929257125442,0.6446953036308561
T2_std,Autocontrollo,0.039303123810650646,0.8332963435832218
T2_std,Compl_cogn,0.17366496893643496,0.3548233713218355
T2_std,Perseveranza,0.11446223952935249,0.5480976549648946
T2_std,Instabilita_cog,0.20347406668531626,0.2824490771974152
T2_std,Impulsivita_cog,0.11597629995857059,0.5306599941344243
T2_std,Impulsivita_mot,0.07579238282385405,0.6779754429107876
T2_std,Impulsivita_non_pian,0.1504142093990467,0.40735780874248184
T2_cv,Attenzione,0.1371324532505463,0.46865887649818494
T2_cv,Comp_motorio,0.023386170701251204,0.8999167266950987
T2_cv,Autocontrollo,-0.007860624762130128,0.9664228397702279
T2_cv,Compl_cogn,0.015787724448766815,0.9329643442039969
T2_cv,Perseveranza,0.016351748504193214,0.9316239092877542
T2_cv,Instabilita_cog,0.23602991735496684,0.21246813267761677
T2_cv,Impulsivita_cog,0.17783032660314158,0.3363519766191384
T2_cv,Impulsivita_mot,0.015158476564770809,0.9338153767881677
T2_cv,Impulsivita_non_pian,0.01504142093990467,0.9339666556484371
T2_skewness,Attenzione,-0.008066614897090959,0.9659986904981015
T2_skewness,Comp_motorio,0.07015851210375361,0.7059509491002923
T2_skewness,Autocontrollo,-0.08646687238343143,0.6433308629156317
T2_skewness,Compl_cogn,-0.07893862224383406,0.6740624465649292
T2_skewness,Perseveranza,-0.17986923354612536,0.34526127200744405
T2_skewness,Instabilita_cog,0.08952858934153915,0.6362653051811469
T2_skewness,Impulsivita_cog,0.023195259991714116,0.900207071435448
