Times Metric,stroop_congruent Trait,Correlation,P-value
T1_kurtosis,RT_mean,0.19117647058823525,0.30811454449876985
T1_kurtosis,RT_median,0.1764705882352941,0.34884640290128766
T1_kurtosis,RT_std,0.07352941176470587,0.7150317752938318
T1_kurtosis,RT_cv,-0.07352941176470587,0.7150317752938318
T1_kurtosis,RT_skew,-0.16176470588235295,0.3927276123262421
T1_kurtosis,RT_kurt,-0.13235294117647056,0.4896069682169023
T1_kurtosis,RT_iqr,0.0588235294117647,0.7764940676883935
T1_kurtosis,RT_outlier,-0.027579867425734574,0.8907458009320663
T1_kurtosis,RT_noerrors,,
T1_kurtosis,RT_nsamples,,
T1_iqr,RT_mean,-0.045475429694312425,0.8030333653420818
T1_iqr,RT_median,-0.060633906259083235,0.739463121826426
T1_iqr,RT_std,0.2576941016011038,0.15753853102836857
T1_iqr,RT_cv,0.3638034375544994,0.04600075485285103
T1_iqr,RT_skew,0.045475429694312425,0.8030333653420818
T1_iqr,RT_kurt,-0.045475429694312425,0.8030333653420818
T1_iqr,RT_iqr,0.1667432422124789,0.36042681871765536
T1_iqr,RT_outlier,0.1326671576263081,0.5182437948982435
T1_iqr,RT_noerrors,,
T1_iqr,RT_nsamples,,
T1_outlier,RT_mean,0.3878157674962644,0.04838022594697001
T1_outlier,RT_median,0.2499257168309259,0.20332269520598445
T1_outlier,RT_std,-0.14650817883192208,0.4558254737214059
T1_outlier,RT_cv,-0.4050520238294317,0.03923180384772055
T1_outlier,RT_skew,-0.008618128166583652,0.9650104495313001
T1_outlier,RT_kurt,0.008618128166583652,0.9650104495313001
T1_outlier,RT_iqr,-0.19821694783142402,0.3130033371787856
T1_outlier,RT_outlier,-0.18317731875331683,0.40971227020756107
T1_outlier,RT_noerrors,,
T1_outlier,RT_nsamples,,
T1_nsamples,RT_mean,0.17705013195704256,0.3886634945233082
T1_nsamples,RT_median,0.13770565818881086,0.5025528715982597
T1_nsamples,RT_std,0.29508355326173763,0.15079204729986095
T1_nsamples,RT_cv,0.27541131637762173,0.1799344791719225
T1_nsamples,RT_skew,-0.07868894753646336,0.7016229956930677
T1_nsamples,RT_kurt,-0.03934447376823168,0.8480827592882225
T1_nsamples,RT_iqr,0.27541131637762173,0.1799344791719225
T1_nsamples,RT_outlier,0.3689392259574613,0.11300421159780641
T1_nsamples,RT_noerrors,,
T1_nsamples,RT_nsamples,,
T2_mean,RT_mean,-0.13235294117647056,0.4896069682169023
T2_mean,RT_median,-0.08823529411764705,0.6553075802476113
T2_mean,RT_std,-0.16176470588235295,0.3927276123262421
T2_mean,RT_cv,-0.10294117647058822,0.5976439315443395
T2_mean,RT_skew,-0.07352941176470587,0.7150317752938318
T2_mean,RT_kurt,-0.07352941176470587,0.7150317752938318
T2_mean,RT_iqr,-0.08823529411764705,0.6553075802476113
T2_mean,RT_outlier,-0.34015169825072644,0.09024369430593843
T2_mean,RT_noerrors,,
T2_mean,RT_nsamples,,
T2_median,RT_mean,0.2172665638484256,0.22999522472035994
T2_median,RT_median,0.2172665638484256,0.22999522472035994
T2_median,RT_std,-0.0824114552528511,0.6488839324284439
T2_median,RT_cv,-0.18729876193829795,0.30076105085601823
T2_median,RT_skew,-0.1273631581180426,0.4816408910812593
T2_median,RT_kurt,-0.1273631581180426,0.4816408910812593
T2_median,RT_iqr,-0.03745975238765959,0.836040672141628
T2_median,RT_outlier,-0.2903798119743282,0.1541461610667102
T2_median,RT_noerrors,,
T2_median,RT_nsamples,,
T2_std,RT_mean,-0.5588235294117646,0.0012750331727878694
T2_std,RT_median,-0.5147058823529411,0.0033456623826434947
T2_std,RT_std,-0.2352941176470588,0.20489900152579948
