SUBJECT,TRIAL,WORD,COLOR,CONGRUENT,ANSWER,CORRECT,REACTION TIME,TIMESTAMP
IDU029,7,GIALLO,VERDE,0,v,1,1243,1727183566308
IDU029,8,VERDE,BLU,0,b,1,937,1727183567770
IDU029,9,ROSSO,BLU,0,b,1,582,1727183568875
IDU029,10,BLU,ROSSO,0,r,1,826,1727183570226
IDU029,11,GIALLO,ROSSO,0,r,1,575,1727183571323
IDU029,13,VERDE,ROSSO,0,r,1,494,1727183573344
IDU029,16,ROSSO,VERDE,0,v,1,574,1727183576853
IDU029,21,BLU,VERDE,0,v,1,1073,1727183583464
IDU029,23,ROSSO,GIALLO,0,g,1,1059,1727183586139
IDU029,24,GIALLO,BLU,0,b,1,1003,1727183587667
IDU031,1,GIALLO,VERDE,0,v,1,814,1727254079781
IDU031,3,ROSSO,GIALLO,0,g,1,642,1727254082006
IDU031,4,BLU,VERDE,0,v,1,947,1727254083478
IDU031,8,ROSSO,BLU,0,b,1,780,1727254089691
IDU031,9,ROSSO,VERDE,0,v,1,869,1727254091085
IDU031,11,VERDE,BLU,0,b,1,613,1727254093342
IDU031,12,BLU,GIALLO,0,g,1,596,1727254094462
IDU031,13,BLU,ROSSO,0,r,1,950,1727254095936
IDU031,14,GIALLO,BLU,0,b,1,729,1727254097190
IDU031,18,GIALLO,ROSSO,0,r,1,593,1727254101789
IDU031,20,VERDE,ROSSO,0,r,1,607,1727254104044
IDU031,22,VERDE,GIALLO,0,g,1,675,1727254106308
IDU033,5,VERDE,BLU,0,b,1,1177,1727443428790
IDU033,10,ROSSO,BLU,0,b,1,1091,1727443435840
IDU033,11,GIALLO,VERDE,0,v,1,1461,1727443437824
IDU033,13,BLU,ROSSO,0,r,1,1219,1727443440846
IDU033,14,BLU,GIALLO,0,g,1,2237,1727443443608
IDU033,15,ROSSO,VERDE,0,v,1,1079,1727443445210
IDU033,16,ROSSO,GIALLO,0,g,1,1083,1727443446818
IDU033,17,VERDE,GIALLO,0,g,1,915,1727443448257
IDU033,18,GIALLO,BLU,0,b,1,990,1727443449771
IDU033,19,BLU,VERDE,0,v,1,1277,1727443451572
IDU033,21,VERDE,ROSSO,0,r,1,1064,1727443455156
IDU033,24,GIALLO,ROSSO,0,r,1,1024,1727443459536
IDU035,1,BLU,GIALLO,0,g,1,941,1727775126661
IDU035,3,VERDE,BLU,0,b,1,869,1727775129354
IDU035,4,GIALLO,VERDE,0,v,1,1040,1727775130917
IDU035,5,ROSSO,BLU,0,b,1,876,1727775132317
IDU035,7,GIALLO,BLU,0,b,1,920,1727775135057
IDU035,8,ROSSO,GIALLO,0,g,1,683,1727775136264
IDU035,9,GIALLO,ROSSO,0,r,1,1076,1727775137863
IDU035,10,BLU,ROSSO,0,r,1,642,1727775139028
IDU035,12,ROSSO,VERDE,0,v,1,840,1727775141530
IDU035,14,BLU,VERDE,0,v,1,640,1727775143848
IDU035,20,VERDE,GIALLO,0,g,1,840,1727775151419
IDU035,24,VERDE,ROSSO,0,r,1,833,1727775156526
IDU037,2,BLU,VERDE,0,v,1,1200,1728482073326
IDU037,3,ROSSO,GIALLO,0,g,1,1987,1728482075837
IDU037,5,VERDE,BLU,0,b,1,1011,1728482079456
IDU037,6,BLU,ROSSO,0,r,1,1961,1728482081941
IDU037,7,VERDE,GIALLO,0,g,1,1232,1728482083698
IDU037,10,ROSSO,VERDE,0,v,1,1637,1728482090211
IDU037,12,GIALLO,BLU,0,b,1,1875,1728482094952
IDU037,13,GIALLO,VERDE,0,v,1,2204,1728482097680
IDU037,14,VERDE,ROSSO,0,r,1,1982,1728482100187
IDU037,20,GIALLO,ROSSO,0,r,1,1542,1728482114003
IDU037,23,ROSSO,BLU,0,b,1,1210,1728482119494
IDU037,24,BLU,GIALLO,0,g,1,1147,1728482121165
IDU038,2,VERDE,ROSSO,0,r,1,1573,1728484059366
IDU038,3,GIALLO,ROSSO,0,r,1,1339,1728484061229
IDU038,4,BLU,GIALLO,0,g,1,1181,1728484062933
IDU038,8,VERDE,GIALLO,0,g,1,1558,1728484070311
IDU038,9,BLU,VERDE,0,g,0,1478,1728484072313
IDU038,10,ROSSO,GIALLO,0,g,1,1516,1728484074353
IDU038,11,GIALLO,BLU,0,b,1,1765,1728484076643
IDU038,13,BLU,ROSSO,0,r,1,1011,1728484079639
IDU038,15,GIALLO,VERDE,0,v,1,1123,1728484082759
IDU038,18,ROSSO,BLU,0,b,1,1341,1728484088462
