SUBJECT,TRIAL,WORD,COLOR,CONGRUENT,ANSWER,CORRECT,REACTION TIME,TIMESTAMP
IDU035,8,ROSSO,GIALLO,0,g,1,683,1727775136264
IDU035,9,GIALLO,ROSSO,0,r,1,1076,1727775137863
IDU035,10,BLU,ROSSO,0,r,1,642,1727775139028
IDU035,11,ROSSO,ROSSO,1,r,1,615,1727775140166
IDU035,12,ROSSO,VERDE,0,v,1,840,1727775141530
IDU035,13,VERDE,VERDE,1,v,1,632,1727775142685
IDU035,14,BLU,VERDE,0,v,1,640,1727775143848
IDU035,15,GIALLO,GIALLO,1,g,1,835,1727775145206
IDU035,16,VERDE,VERDE,1,v,1,702,1727775146433
IDU035,17,VERDE,VERDE,1,v,1,638,1727775147595
IDU035,18,GIALLO,GIALLO,1,g,1,715,1727775148835
IDU035,19,ROSSO,ROSSO,1,r,1,698,1727775150056
IDU035,20,VERDE,GIALLO,0,g,1,840,1727775151419
IDU035,21,BLU,BLU,1,b,1,716,1727775152659
IDU035,22,ROSSO,ROSSO,1,r,1,784,1727775153966
IDU035,23,BLU,BLU,1,b,1,680,1727775155170
IDU035,24,VERDE,ROSSO,0,r,1,833,1727775156526
IDU037,1,BLU,BLU,1,b,1,1718,1728482071603
IDU037,2,BLU,VERDE,0,v,1,1200,1728482073326
IDU037,3,ROSSO,GIALLO,0,g,1,1987,1728482075837
IDU037,4,VERDE,VERDE,1,v,1,1560,1728482077921
IDU037,5,VERDE,BLU,0,b,1,1011,1728482079456
IDU037,6,BLU,ROSSO,0,r,1,1961,1728482081941
IDU037,7,VERDE,GIALLO,0,g,1,1232,1728482083698
IDU037,8,ROSSO,ROSSO,1,r,1,1571,1728482085793
IDU037,9,GIALLO,GIALLO,1,g,1,1732,1728482088049
IDU037,10,ROSSO,VERDE,0,v,1,1637,1728482090211
IDU037,11,BLU,BLU,1,b,1,1819,1728482092554
IDU037,12,GIALLO,BLU,0,b,1,1875,1728482094952
IDU037,13,GIALLO,VERDE,0,v,1,2204,1728482097680
IDU037,14,VERDE,ROSSO,0,r,1,1982,1728482100187
IDU037,15,VERDE,VERDE,1,v,1,1070,1728482101781
IDU037,16,ROSSO,ROSSO,1,r,1,2185,1728482104490
IDU037,17,GIALLO,GIALLO,1,g,1,2279,1728482107294
IDU037,18,VERDE,VERDE,1,v,1,1777,1728482109596
IDU037,19,ROSSO,ROSSO,1,r,1,1818,1728482111938
IDU037,20,GIALLO,ROSSO,0,r,1,1542,1728482114003
IDU037,21,BLU,BLU,1,b,1,1289,1728482115816
IDU037,22,GIALLO,GIALLO,1,g,1,1419,1728482117759
IDU037,23,ROSSO,BLU,0,b,1,1210,1728482119494
IDU037,24,BLU,GIALLO,0,g,1,1147,1728482121165
IDU038,1,BLU,BLU,1,b,1,1347,1728484057269
IDU038,2,VERDE,ROSSO,0,r,1,1573,1728484059366
IDU038,3,GIALLO,ROSSO,0,r,1,1339,1728484061229
IDU038,4,BLU,GIALLO,0,g,1,1181,1728484062933
IDU038,5,VERDE,VERDE,1,v,1,1344,1728484064801
IDU038,6,GIALLO,GIALLO,1,g,1,1143,1728484066467
IDU038,7,VERDE,VERDE,1,v,1,1239,1728484068230
IDU038,8,VERDE,GIALLO,0,g,1,1558,1728484070311
IDU038,9,BLU,VERDE,0,g,0,1478,1728484072313
IDU038,10,ROSSO,GIALLO,0,g,1,1516,1728484074353
IDU038,11,GIALLO,BLU,0,b,1,1765,1728484076643
IDU038,12,BLU,BLU,1,b,1,938,1728484078105
IDU038,13,BLU,ROSSO,0,r,1,1011,1728484079639
IDU038,14,VERDE,VERDE,1,v,1,950,1728484081112
IDU038,15,GIALLO,VERDE,0,v,1,1123,1728484082759
IDU038,16,GIALLO,GIALLO,1,g,1,1541,1728484084824
