SUBJECT,TRIAL,WORD,COLOR,CONGRUENT,ANSWER,CORRECT,REACTION TIME,TIMESTAMP
IDU037,18,VERDE,VERDE,1,v,1,1777,1728482109596
IDU037,19,ROSSO,ROSSO,1,r,1,1818,1728482111938
IDU037,21,BLU,BLU,1,b,1,1289,1728482115816
IDU037,22,GIALLO,GIALLO,1,g,1,1419,1728482117759
IDU038,1,BLU,BLU,1,b,1,1347,1728484057269
IDU038,5,VERDE,VERDE,1,v,1,1344,1728484064801
IDU038,6,GIALLO,GIALLO,1,g,1,1143,1728484066467
IDU038,7,VERDE,VERDE,1,v,1,1239,1728484068230
IDU038,12,BLU,BLU,1,b,1,938,1728484078105
IDU038,14,VERDE,VERDE,1,v,1,950,1728484081112
IDU038,16,GIALLO,GIALLO,1,g,1,1541,1728484084824
IDU038,17,ROSSO,ROSSO,1,r,1,1249,1728484086597
IDU038,20,BLU,BLU,1,b,1,806,1728484091423
IDU038,21,ROSSO,ROSSO,1,r,1,1246,1728484093193
IDU038,22,ROSSO,ROSSO,1,r,1,727,1728484094446
IDU038,24,GIALLO,GIALLO,1,g,1,941,1728484097731
IDU040,1,ROSSO,ROSSO,1,r,1,1107,1730392031283
IDU040,6,GIALLO,GIALLO,1,g,1,1324,1730392040660
IDU040,14,VERDE,VERDE,1,v,1,2143,1730392057414
IDU040,15,ROSSO,ROSSO,1,r,1,1720,1730392059658
IDU040,16,ROSSO,ROSSO,1,r,1,846,1730392061028
IDU040,17,BLU,BLU,1,b,1,1030,1730392062582
IDU040,18,BLU,BLU,1,b,1,842,1730392063949
IDU040,19,GIALLO,GIALLO,1,g,1,929,1730392065401
IDU040,21,GIALLO,GIALLO,1,g,1,1073,1730392068729
IDU040,22,VERDE,VERDE,1,v,1,971,1730392070224
IDU040,23,VERDE,VERDE,1,v,1,915,1730392071663
IDU040,24,BLU,BLU,1,b,1,971,1730392073157
